time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-02T21:00:42.140Z,52.0791666666667,-176.013333333333,5.43,1.82,ml,6,213,,0.14,av,av91741866,2023-01-04T06:48:19.930Z,"48 km ENE of Adak, Alaska",earthquake,0.68,0.57,0.267561303092886,6,reviewed,av,av
2023-01-02T21:00:29.570Z,52.0808333333333,-176.0215,6.39,1.22,ml,5,210,,0.23,av,av91082708,2023-01-04T06:50:56.740Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,0.94,1.31,0.276985298575487,5,reviewed,av,av
2023-01-02T20:47:42.749Z,54.7414,-163.6888,6.3,2.1,ml,,,,0.66,ak,ak0233n9j5r,2023-01-23T20:14:06.221Z,"21 km SW of False Pass, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-01-02T20:46:21.190Z,41.7921667,-111.9203333,2.87,1.96,ml,16,93,0.108,0.17,uu,uu60529007,2023-03-11T22:51:27.040Z,"0 km ENE of Benson, Utah",earthquake,0.44,1.09,0.205,5,reviewed,uu,uu
2023-01-02T20:45:43.840Z,19.2418333333333,-155.4135,32.95,3.16,ml,43,104,,0.14,hv,hv73292287,2024-01-04T00:28:45.260Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.46,0.54,0.166778021931366,39,reviewed,hv,hv
2023-01-02T20:45:32.600Z,19.3868333333333,-155.278666666667,1.3,0.18,md,10,128,,0.08,hv,hv73292282,2023-01-04T03:26:11.270Z,"7 km SW of Volcano, Hawaii",earthquake,0.32,0.25,0.0511605911488657,2,reviewed,hv,hv
2023-01-02T20:43:58.585Z,31.689,-104.407,6.5613,1.7,ml,14,59,0,0.1,tx,tx2023adko,2025-01-09T19:57:00.541Z,"54 km S of Whites City, New Mexico",earthquake,0.9977902341617613,0.7048291223131641,0.1,14,reviewed,tx,tx
2023-01-02T20:42:52.368Z,61.9316,-150.1291,11.1,1.5,ml,,,,0.45,ak,ak0233n8h5k,2023-01-19T20:11:35.979Z,"21 km NNW of Willow, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-01-02T20:37:18.880Z,54.7405,-163.759833333333,-1.49,0.97,ml,4,139,,0.17,av,av91082703,2023-01-04T06:38:30.020Z,"25 km WSW of False Pass, Alaska",earthquake,0.75,0.92,0.411488143698587,4,reviewed,av,av
2023-01-02T20:36:25.763Z,31.68302178,-104.3990161,6.131567383,2.4,ml,21,68,0.0230779209,0.2,tx,tx2023adkh,2023-03-11T22:51:33.040Z,"54 km S of Whites City, New Mexico",earthquake,0.8190767324,0.6347843124,0.1,18,reviewed,tx,tx
2023-01-02T20:36:07.420Z,54.7653333333333,-163.6975,0.43,2.05,ml,6,229,,0.08,av,av91741851,2023-01-04T06:29:19.320Z,"20 km WSW of False Pass, Alaska",earthquake,1.52,0.98,0.193086105425101,6,reviewed,av,av
2023-01-02T20:34:57.750Z,58.253,-155.051,4.59,0.24,ml,8,116,,0.1,av,av91741846,2023-01-04T06:23:42.580Z,"83 km NNW of Karluk, Alaska",earthquake,0.32,0.48,0.295241938993767,8,reviewed,av,av
2023-01-02T20:34:03.495Z,59.9725,-153.295,127.2,2.5,ml,,,,0.39,ak,ak0233n6nn3,2023-03-11T22:51:33.040Z,"49 km ENE of Pedro Bay, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-01-02T20:23:00.790Z,58.2595,-155.082666666667,4.37,0.37,ml,11,103,,0.16,av,av91741836,2023-01-04T06:08:25.950Z,"85 km NNW of Karluk, Alaska",earthquake,0.3,0.54,0.241151233495827,11,reviewed,av,av
2023-01-02T20:21:01.355Z,58.4708,-154.0989,96.3,1.7,ml,,,,0.31,ak,ak0233n3vko,2023-01-19T20:11:35.493Z,"83 km WNW of Aleneva, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-01-02T20:17:30.790Z,58.2443333333333,-155.070666666667,3.97,0.37,ml,10,106,,0.07,av,av91741821,2023-01-19T20:10:43.151Z,"83 km NNW of Karluk, Alaska",earthquake,0.23,0.49,0.264767798878763,10,reviewed,av,av
2023-01-02T20:17:24.540Z,35.6875,-117.5453333,4.79,0.72,ml,16,148,0.1023,0.18,ci,ci40153103,2023-01-13T21:11:31.410Z,"14km ENE of Ridgecrest, CA",earthquake,0.41,0.81,0.195,7,reviewed,ci,ci
2023-01-02T20:12:34.948Z,65.0013,-147.3983,0,0.6,ml,,,,0.95,ak,ak0233n20dy,2023-01-19T20:11:35.318Z,"11 km ENE of Fox, Alaska",explosion,,0,,,reviewed,ak,ak
2023-01-02T20:11:27.547Z,10.8119,91.5945,10,4.4,mb,40,71,1.405,0.59,us,us7000j1nn,2023-03-11T22:51:33.040Z,"157 km SW of Bamboo Flat, India",earthquake,6.5,1.86,0.117,21,reviewed,us,us
2023-01-02T19:55:28.940Z,33.0365,-116.4051667,6.67,1.06,ml,29,61,0.04925,0.19,ci,ci40153095,2023-01-13T20:51:18.856Z,"19km ESE of Julian, CA",earthquake,0.26,0.47,0.144,12,reviewed,ci,ci
2023-01-02T19:51:04.000Z,18.2028333333333,-67.1446666666667,25.6,3.19,md,32,113,0.01341,0.13,pr,pr71390518,2024-01-18T19:08:32.078Z,"0 km WNW of Mayag?ez, Puerto Rico",earthquake,0.27,0.43,0.16371115573681,17,reviewed,pr,pr
2023-01-02T19:34:37.720Z,38.8023338,-122.7801666,5.79,0.76,md,10,144,0.01097,0.05,nc,nc73828076,2023-01-02T20:25:11.252Z,"4km NW of The Geysers, CA",earthquake,0.64,2.33,0.15,11,automatic,nc,nc
2023-01-02T19:34:35.590Z,52.0821666666667,-176.015833333333,5.08,1.1,ml,5,217,,0.06,av,av91741806,2023-01-04T05:21:54.960Z,"48 km ENE of Adak, Alaska",earthquake,0.45,0.64,0.151949223281886,5,reviewed,av,av
2023-01-02T19:32:31.090Z,51.8116666666667,-177.0635,12.82,1.14,ml,5,256,,0.06,av,av91741801,2023-01-02T22:24:03.570Z,"30 km WSW of Adak, Alaska",earthquake,1.81,1.44,0.192279031848268,5,reviewed,av,av
2023-01-02T19:28:59.201Z,63.7342,-149.4964,114.8,1.6,ml,,,,0.68,ak,ak0233mk5f5,2023-01-19T20:11:35.093Z,"28 km W of Denali Park, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-01-02T19:27:22.450Z,58.2313333333333,-155.073333333333,3.46,0.13,ml,7,137,,0.1,av,av91741796,2023-01-04T05:15:57.860Z,"82 km NNW of Karluk, Alaska",earthquake,0.32,1.02,0.367887299007628,7,reviewed,av,av
2023-01-02T19:25:14.135Z,30.2167,-41.9612,10,5.2,mww,116,56,15.561,0.71,us,us7000j1nh,2023-03-11T22:51:33.040Z,"northern Mid-Atlantic Ridge",earthquake,9.82,1.791,0.056,31,reviewed,us,us
2023-01-02T19:23:20.310Z,52.073,-175.999833333333,6.01,0.59,ml,4,212,,0.15,av,av91082673,2023-01-04T05:04:59.570Z,"48 km ENE of Adak, Alaska",earthquake,0.88,1.17,0.180721555867966,4,reviewed,av,av
2023-01-02T19:23:17.900Z,55.971,-159.673833333333,23.11,0.88,ml,6,308,,0.17,av,av91082463,2023-01-02T22:32:48.910Z,"14 km WNW of Ivanof Bay, Alaska",earthquake,1.17,1.02,0.275739474356735,6,reviewed,av,av
2023-01-02T19:22:44.280Z,51.807,-177.047666666667,11.8,1.19,ml,5,266,,0.07,av,av91741791,2023-01-02T22:21:57.580Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,1.85,1.81,0.297989813547564,5,reviewed,av,av
2023-01-02T19:22:40.610Z,55.981,-159.6215,29.53,0.83,ml,5,300,,0.18,av,av91082458,2023-01-02T22:28:50.770Z,"Alaska Peninsula",earthquake,1.63,1.14,0.228081071967513,5,reviewed,av,av
2023-01-02T19:19:42.770Z,55.9795,-159.656833333333,23.99,0.77,ml,6,305,,0.22,av,av91082453,2023-01-02T22:17:09.810Z,"13 km NW of Ivanof Bay, Alaska",earthquake,1.4,1.49,0.122241427052922,6,reviewed,av,av
2023-01-02T19:17:36.030Z,55.966,-159.681166666667,24.45,0.48,ml,4,323,,0.04,av,av91082448,2023-01-02T22:11:19.990Z,"14 km WNW of Ivanof Bay, Alaska",earthquake,1.79,0.63,0.199243114511918,4,reviewed,av,av
2023-01-02T19:10:56.096Z,62.9672,-150.4994,95.5,1.5,ml,,,,0.39,ak,ak0233mg6zl,2023-01-19T20:11:34.888Z,"54 km NNE of Petersville, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-01-02T19:06:27.850Z,19.1883335113525,-155.490325927734,31.8099994659424,2.32,ml,44,79,,0.109999999,hv,hv73292172,2023-03-11T22:51:33.040Z,"2 km SW of P?hala, Hawaii",earthquake,0.57,0.639999986,3.6,13,automatic,hv,hv
2023-01-02T19:06:23.573Z,35.531,25.8574,10,4,mb,44,204,1.961,0.98,us,us7000j1nd,2023-03-11T22:51:33.040Z,"Crete, Greece",earthquake,7.93,1.935,0.102,26,reviewed,us,us
2023-01-02T19:02:21.070Z,52.0771666666667,-176.019,5.9,0.97,ml,4,205,,0.2,av,av91741781,2024-01-18T19:08:30.480Z,"47 km ENE of Adak, Alaska",earthquake,0.9,1.32,0.161958828688611,4,reviewed,av,av
2023-01-02T19:02:17.679Z,43.8095,-105.2956,0,3.3,ml,14,83,0.962,0.49,us,us7000j1na,2023-03-11T22:51:33.040Z,"17 km ENE of Wright, Wyoming",mining explosion,7.53,1.674,0.05,52,reviewed,us,us
2023-01-02T19:00:28.370Z,38.8216667,-122.7851639,1.85,0.99,md,17,42,0.009095,0.02,nc,nc73828071,2023-01-02T19:02:06.261Z,"5km W of Cobb, CA",earthquake,0.25,0.4,0.24,18,automatic,nc,nc
2023-01-02T18:57:43.700Z,33.3005,-116.7496667,5.99,0.99,ml,40,59,0.0648,0.16,ci,ci40153087,2023-01-03T14:26:33.660Z,"7km N of Lake Henshaw, CA",earthquake,0.19,0.72,0.123,24,reviewed,ci,ci
2023-01-02T18:56:36.570Z,52.0828333333333,-176.015833333333,5.19,0.85,ml,4,218,,0.12,av,av91741776,2024-01-18T19:08:28.715Z,"48 km ENE of Adak, Alaska",earthquake,0.77,0.37,0.240639489272633,4,reviewed,av,av
2023-01-02T18:54:45.230Z,51.8641666666667,-177.931166666667,4.08,1.14,ml,5,167,,0.14,av,av91082668,2023-01-04T04:56:50.900Z,"89 km W of Adak, Alaska",earthquake,0.66,2.48,0.283333701633157,5,reviewed,av,av
2023-01-02T18:51:11.280Z,51.8626666666667,-177.9355,8,0.98,ml,4,162,,0.04,av,av91741771,2024-01-18T19:08:26.942Z,"89 km W of Adak, Alaska",earthquake,0.46,0.81,0.148369794962121,4,reviewed,av,av
2023-01-02T18:47:26.446Z,36.009,139.9001,98.487,4.4,mb,54,122,1.466,1.02,us,us7000j1n9,2023-03-11T22:51:33.040Z,"4 km S of Iwai, Japan",earthquake,3.42,6.331,0.095,32,reviewed,us,us
2023-01-02T18:44:52.570Z,38.7725,-122.7251667,1.53,0.02,md,14,59,0.01089,0.04,nc,nc73828066,2023-01-11T00:13:21.135Z,"3km E of The Geysers, CA",earthquake,0.29,0.47,0.089,3,reviewed,nc,nc
2023-01-02T18:41:58.280Z,33.6936667,-116.7196667,15.66,0.48,ml,16,100,0.01805,0.08,ci,ci40153079,2023-01-13T20:45:44.507Z,"5km S of Idyllwild, CA",earthquake,0.32,0.32,0.203,7,reviewed,ci,ci
2023-01-02T18:41:37.936Z,60.9695,-147.7281,4.4,1.2,ml,,,,0.75,ak,ak0233m1d5t,2023-01-19T20:11:39.801Z,"56 km ENE of Whittier, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-01-02T18:36:33.690Z,38.786499,-122.7369995,1.67,1.05,md,12,86,0.003264,0.01,nc,nc73828061,2023-01-02T18:38:10.805Z,"2km ENE of The Geysers, CA",earthquake,0.3,0.66,0.3,13,automatic,nc,nc
2023-01-02T18:34:10.782Z,63.8181,-150.3361,6,1.7,ml,,,,1.02,ak,ak0233lzt16,2023-01-19T20:11:34.653Z,"63 km WSW of Ferry, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-01-02T18:26:48.456Z,60.1368,-153.0467,107.7,1.9,ml,,,,0.51,ak,ak0233ly668,2023-01-19T20:11:34.436Z,"70 km E of Port Alsworth, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-01-02T18:25:20.190Z,19.1706657409668,-155.374160766602,30.75,2.05999994,md,35,173,,0.129999995,hv,hv73292132,2023-01-02T18:28:32.910Z,"11 km ESE of P?hala, Hawaii",earthquake,0.55,0.790000021,2.05999994,4,automatic,hv,hv
2023-01-02T18:23:55.580Z,34.5271667,-118.131,11.06,1.67,ml,34,31,0.01145,0.17,ci,ci40153063,2023-01-02T19:53:55.240Z,"3km NNW of Vincent, CA",earthquake,0.24,0.32,0.196,27,reviewed,ci,ci
2023-01-02T18:22:47.283Z,45.9418,150.8008,109.233,5.3,mww,138,46,5.649,0.72,us,us7000j1n1,2023-03-11T22:51:33.040Z,"241 km ENE of Kuril’sk, Russia",earthquake,9.67,4.114,0.071,19,reviewed,us,us
2023-01-02T18:22:20.140Z,38.8286667,-122.814003,2.3,0.75,md,10,60,0.006093,0.01,nc,nc73828051,2023-01-02T19:21:12.866Z,"8km NW of The Geysers, CA",earthquake,0.39,0.86,0.53,10,automatic,nc,nc
2023-01-02T18:21:37.495Z,59.9586,-152.1612,71.5,1.6,ml,,,,0.38,ak,ak0233lx2sr,2023-01-19T20:11:34.230Z,"24 km W of Happy Valley, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-01-02T18:18:00.900Z,58.2386666666667,-155.0605,4.25,0.21,ml,9,111,,0.15,av,av91741746,2023-01-19T20:10:36.810Z,"Alaska Peninsula",earthquake,0.26,0.7,0.245007884699828,10,reviewed,av,av
